id,domain,title,visits,rating,type,flag
ktv-ray.ru,ktv-ray.ru/,КТВ-ЛУЧ,39778,81,private,
Hab/all,dvhab.ru,Сайт Хабаровска,39672,94,public,s
sakha-sire.ru,sakha-sire.ru/,Саха Сирэ. Новости на якутском языке,39365,93,private,s
hsdigital/rn/smi/34,v1.ru,V1.RU – главные новости Волгограда. Shkulev Holding,39182,91,public,s
kp/kpall/reg/kpperm,perm.kp.ru,&quot;Комсомольская правда&quot; Пермь,38752,95,public,s
MOE-online,www.moe-online.ru,МОЁ! Online. Все новости Воронежа,38496,84,public,s
hsdigital/rn/smi/76,76.ru,76.RU – главные новости Ярославля. Shkulev Holding,37987,90,public,s
sakhalife.ru,sakhalife.ru/,Информационное агентство &quot;SakhaLife.ru&quot;,37889,62,private,s
sib.fm,sib.fm/,Сиб.фм — интернет-журнал о Сибири,37351,95,private,s
kaluga-poisk.ru,kaluga-poisk.ru/,Kaluga-poisk.ru - городской информационный портал,37283,73,private,s
mosaica.ru,mosaica.ru/,Главные новости России,37230,89,private,s
ki-news.ru,ki-news.ru/,Краснодарские Известия,36591,95,private,s
myslo.ru,myslo.ru/,Слобода - самая популярная газета Тулы. Новости Тулы и области. Афиша Тулы.,36514,93,public,s
hsdigital/rn/smi/75,www.chita.ru,CHITA.RU – главные новости Читы. Shkulev Holding,36509,91,public,s
sochistream.ru,sochistream.ru/,Сочи Стрим,35589,97,private,s
Tatar-Inform,tatar-inform.ru,ИА &quot;Татар-Информ&quot;,35187,93,public,s
hsdigital/rn/smi/02,ufa1.ru,UFA1.RU – главные новости Уфы. Shkulev Holding,35069,90,public,s
gorsite.ru,gorsite.ru/,Агентство новостей &quot;ОТС - Горсайт&quot;,34662,95,public,
Om1-group,www.om1.ru/,"Om1.ru – Онлайн Медиа о жизни в Новосибирске, Омске, России и мире",34640,96,public,s
hsdigital/rn/smi/23,93.ru,93.RU – главные новости Краснодара. Shkulev Holding,34431,96,public,s
hsdigital/rn/smi/24,news.ngs24.ru/,NGS24.RU – главные новости Красноярска. Shkulev Holding,34142,87,public,s
nsn.fm,nsn.fm/,НСН: Национальная Служба Новостей - все новости дня,33885,88,private,s
riamo,riamo.ru,РИАМО,33774,91,public,s
kp/kpall/novoross,kp.ru,KP.RU: Комсомольская правда в Новороccии,33348,83,private,
stavropol.media,stavropol.media/,Stavropol.media - новости Ставрополя и Ставропольского края,33077,72,private,s
volgogradru.com,www.volgogradru.com/,volgogradru Новости Волгограда,32902,78,private,
rbc.ru/trends,www.rbc.ru/trends/,РБК - РосБизнесКонсалтинг - Тренды,32787,84,private,s
vzsar.ru,vzsar.ru/,Взгляд. Саратов,32151,96,private,s
amur.life,www.amur.life/,AMUR.LIFE,32019,90,private,s
spb.mk.ru,spb.mk.ru/,МК в Питере,31846,95,private,s
stolica-s.su,stolica-s.su/,Столица С - газета республики Мордовия,31648,88,private,s
by.tsargrad.tv,by.tsargrad.tv/,Царьград Беларусь,30790,90,private,s
novosib_1mi,atas.info,atas.info - 1MI,30351,90,public,s
rossaprimavera.ru,rossaprimavera.ru/,ИА «Красная весна»,29749,84,private,s
amurmedia.ru,amurmedia.ru/,AmurMedia - новости Хабаровска и Хабаровского края,29714,77,private,s
aftershock.news,aftershock.news/,AfterShock,29511,75,private,s
hsdigital/rn/smi/59,59.ru,59.RU – главные новости Перми. Shkulev Holding,29507,87,public,s
mediametrics.ru,mediametrics.ru/,Медиаметрикс - свежие котировки новостей,29430,75,public,s
pravda-nn.ru,pravda-nn.ru/,Нижегородская правда - Новости Нижнего Новгорода,29127,95,public,
kp/kpall/reg/kprostov,rostov.kp.ru,&quot;Комсомольская правда&quot; Ростов,29078,93,public,s
orsk.ru,orsk.ru/,ORSK.RU Информационный портал,28922,95,public,
47channel.ru,47channel.ru/,47channel - о жизни Ленинградской области и не только,28699,94,public,
hsdigital/rn/smi/52,nn.ru,NN.RU – главные новости Нижнего Новгорода. Shkulev Holding,28547,95,public,s
novostivolgograda.ru,www.novostivolgograda.ru/,NovostiVolgograda.ru - 1MI,28519,95,public,s
kp/kpall/reg/kpkuban,kuban.kp.ru,&quot;Комсомольская правда&quot; Кубань. Краснодар,27828,94,public,s
IzhLife,izhlife.ru,IZHLIFE,27739,84,public,s
hsdigital/rn/smi/61,161.ru,161.RU – главные новости Ростова-на-Дону. Shkulev Holding,27578,91,public,s
kazanfirst.ru,kazanfirst.ru/,Kazanfirst - Новости Татарстана,27496,94,private,s
kapital-rus-ru,kapital-rus.ru,Капитал страны,27474,88,private,s
ysia.ru,ysia.ru/,Якутское-Саха информационное агентство,27265,93,private,
topspb.tv,topspb.tv/,Телеканал &quot;Санкт-Петербург&quot;,27059,93,private,s
7info.ru,7info.ru/,7info.ru РИА «7 новостей»,26894,93,public,s
inkazan.ru,inkazan.ru/,InKazan.ru - 1MI,26667,95,public,s
19rusinfo.ru,19rusinfo.ru/,ИА Хакасия,26619,91,public,s
sakhalinmedia.ru,sakhalinmedia.ru/,SakhalinMedia.ru - новости Южно-Сахалинска и Сахалинской области,26482,71,public,s
pravo.ru,pravo.ru/,ПРАВО.Ру - Информационно-правовой портал,26364,89,private,s
v102.ru,v102.ru/,ИА Высота 102,26256,95,public,s
v-tagile.ru,www.v-tagile.ru/,Новости Нижнего Тагила,26208,98,public,s
kp/kpall/reg/kpufa,ufa.kp.ru,&quot;Комсомольская правда&quot; Уфа,26115,96,public,s
togliatti24.ru,togliatti24.ru/,Тольятти24,26076,89,public,
tv-gubernia.ru,tv-gubernia.ru/,Интернет-канал TV Губерния,25912,91,private,
kp/kpall/reg/kpalt,alt.kp.ru,&quot;Комсомольская правда&quot; Барнаул,25664,95,public,
kuban24.tv,kuban24.tv/,"Кубань 24 (Кубань, Краснодар)",25455,90,public,s
orenday.ru,www.orenday.ru/,Orenday - Информационный портал города Оренбурга,25362,76,public,
gorod48.ru,gorod48.ru/,Gorod48.ru - все новости Липецка онлайн,25320,99,public,s
prmira.ru,prmira.ru/,Prmira.ru - 1MI,25026,95,public,s
kp/kpall/reg/kpirk,irk.kp.ru,&quot;Комсомольская правда&quot; Иркутск,24990,94,public,s
kp/kpall/reg/kpural,ural.kp.ru,&quot;Комсомольская правда&quot; Екатеринбург,24926,96,public,s
RBCRU/EKB,RBCRU/EKB,РБК - РосБизнесКонсалтинг - Екатеринбург,24621,98,public,
kp/kpall/reg/kpkazan,kazan.kp.ru,&quot;Комсомольская правда&quot; Казань,24536,97,public,s
uralweb.ru,www.uralweb.ru/,Uralweb.ru: Екатеринбург в Интернете,24522,96,public,s
sakhaday.ru,sakhaday.ru/,SakhaDay. Новости Якутии,24074,85,private,s
evening-kazan,www.evening-kazan.ru,ИД &quot;Вечерняя Казань&quot;,23883,92,private,s
vostokmedia.ru,vostokmedia.ru/,ИА &quot;Восток-Медиа&quot; - 1MI,23862,95,public,s
russian7.ru,russian7.ru/,Русская Cемерка,23836,87,private,s
sevastopolmedia.ru,sevastopolmedia.ru/,SevastopolMedia,23747,72,public,s
irk.ru,www.irk.ru/,Irk.Ru - Твой Иркутск,23560,94,public,s
eg.ru,www.eg.ru/,"ЭКСПРЕСС газета - новости, аналитика, истории",23549,76,private,s
RBCRU/KRASNODAR,krasnodar.rbc.ru,РБК - РосБизнесКонсалтинг - Краснодар,23388,96,public,
gorobzor.ru,gorobzor.ru/,GOROBZOR.RU,23171,95,public,s
progorod35.ru,progorod35.ru/,Новости Вологды progorod35.ru,23089,58,private,s
kp/kpall/reg/kpsamara,samara.kp.ru,&quot;Комсомольская правда&quot; Самара,23087,96,public,s
smi.today/ru_smi,www.smi.today/ru_smi/,Новости России. Новостной агрегатор smi.today,23012,89,private,s
Samara24,samaraonline24.ru,Самара24,22666,80,public,
hsdigital/rn/smi/29,29.ru,29.RU – главные новости Архангельска. Shkulev Holding,22588,87,public,s
spb.tsargrad.tv,spb.tsargrad.tv/,Царьград Санкт-Петербург,22564,94,private,s
pg11.ru,pg11.ru/,Pro Город Сыктывкар,22227,78,private,s
BASHINFORM,bashinform.ru/,Группа сайтов ИА «Башинформ»,22073,96,public,
rzn.info,rzn.info/,Рязанское информационное агентство — РЗН.инфо,21308,95,public,s
47news.ru,www.47news.ru/,Cорок семь новостей из Ленинградской области,21127,81,public,s
omskinform,www.omskinform.ru,РИА «Омск-информ»,20371,96,public,
cont.ws,cont.ws/,Конт - площадка для социальной журналистики,20330,76,public,s
ProKazan,prokazan.ru/,"Портал ProKazan.ru - новости Казани и Татарстана, события, происшествия, ДТП",20127,93,public,s
vtomske.ru,vtomske.ru/,vtomske.ru — главная,19961,78,public,
hsdigital/rn/smi/55,news.ngs55.ru,NGS55.RU – главные новости Омска. Shkulev Holding,19798,93,public,s
altapress,altapress.ru/,"Алтапресс, издательский дом",19626,90,public,s
city-n.ru,www.city-n.ru/,"Город новостей. Служба информации. г. Новокузнецк, Кемеровская область",19364,97,public,s
bloknot-voronezh.ru,bloknot-voronezh.ru/,Блокнот Воронежа,19163,96,public,s
hsdigital/rn/smi/138,ircity.ru,IRCITY.RU – главные новости Иркутска. Shkulev Holding,19128,96,public,s
syzran-small.ru,syzran-small.ru/,маленькая Сызрань,19125,91,public,
spbdnevnik.ru,www.spbdnevnik.ru/,«Петербургский дневник» — официальное издание правительства Санкт-Петербурга,19041,91,public,s
tagilcityru,tagilcity.ru,TagilCity.ru - 1MI,19028,85,public,
newdaynews.ru,newdaynews.ru/,РИА Новый День,19012,83,private,s
rosbalt.ru,rosbalt.ru/,Росбалт - Новости России и мира сегодня,18993,75,private,s
rostovgazeta.ru,rostovgazeta.ru/,Rostovgazeta.ru - 1MI,18920,94,public,s
eaomedia.ru,eaomedia.ru/,EAOmedia.ru - новости Биробиджана и ЕАО,18875,67,public,s
