system_id,domain,title,visits,rating,parse_date
kp/kpall/sports,www.kp.ru/sports,Комсомольская правда. Спорт,205305,86,2026-02-18
KHLru,www.khl.ru,Континентальная Хоккейная Лига (КХЛ),203753,76,2026-02-18
gorodrabot_group,gorodrabot.ru/,Все вакансии России - GorodRabot.ru,200119,90,2026-02-18
spb.hh.ru,spb.hh.ru/,Работа в Санкт-Петербурге  -  Spb.hh.ru (HeadHunter Group),195221,90,2026-02-18
krasotaimedicina.ru,www.krasotaimedicina.ru/,Красота и Медицина,194469,85,2026-02-18
yaplakal.com,yaplakal.com/,ЯПлакалъ - крупнейшее информационно-развлекательное сообщество рунета,193177,79,2026-02-18
stihi.ru,www.stihi.ru/,Стихи.ру - национальный сервер современной поэзии,192080,80,2026-02-18
RS_Total/Riaru_Total/RSport_Total,rsport.ria.ru/,РИА Новости Спорт. Все главные новости спорта,188807,84,2026-02-18
hsdigital/wn/starhit,starhit.ru,Starhit.ru - Новости шоу-бизнеса,188761,76,2026-02-18
gazeta.ru/social,gazeta.ru/social/,Газета.Ru: Общество,184797,86,2026-02-18
vz.ru,vz.ru/,ВЗГЛЯД.РУ,183311,79,2026-02-18
gismeteo.by,www.gismeteo.by/,GISMETEO.BY: Погодный сайт №1 в Беларуси,176006,32,2026-02-18
pg21.ru,pg21.ru/,Портал PRO Город Чебоксары и Новочебоксарск,172432,75,2026-02-18
its.1c.ru,its.1c.ru/,Информационная система 1С:ИТС,171023,93,2026-02-18
forexpf.ru,www.forexpf.ru/,ProFinance.Ru: | РЫНОК FOREX | НОВОСТИ | ПРОГНОЗЫ | ФОРУМЫ |,168676,65,2026-02-18
2gis/online/ru/moscow,2gis.ru,"Карта Москвы: улицы, дома и организации города — 2ГИС",167074,86,2026-02-18
materinstvo.ru,www.materinstvo.ru/,"МАТЕРИНСТВО: беременность, роды, питание, воспитание",165317,85,2026-02-18
astromeridian.ru,www.astromeridian.ru/,AstroMeridian.Ru - эзотерический интернет журнал,164343,85,2026-02-18
kp/kpall/kpmsk,msk.kp.ru,MSK.KP.RU: главные новости Москвы,163385,89,2026-02-18
kubnews.ru,kubnews.ru/,Кубанские Новости,159817,72,2026-02-18
vecherka-spb.ru,vecherka-spb.ru/,Вечерний Санкт-Петербург,158627,69,2026-02-18
Tatmedia,tatmedia.ru/,Татмедиа,154828,83,2026-02-18
sovsport.ru,www.sovsport.ru/,Советский спорт,154823,79,2026-02-18
aif.ru/society,aif.ru/society/,АИФ Общество,152404,80,2026-02-18
ctc.ru,ctc.ru/,Телеканал СТС,151520,84,2026-02-18
livelib.ru,livelib.ru/,LiveLib — социальная сеть читателей книг,151000,75,2026-02-18
finance.rambler.ru,finance.rambler.ru/,Рамблер/Финансы - личные финансы и новости,150839,73,2026-02-18
gazeta.ru/politics,gazeta.ru/politics/,Газета.Ru: Политика,146692,77,2026-02-18
vesti.ru,vesti.ru/,Вести.ру,145040,78,2026-02-18
uralweb.ru,www.uralweb.ru/,Uralweb.ru: Екатеринбург в Интернете,142691,96,2026-02-18
110km,110km.ru,110KM.RU Автожурнал для выбора и покупки автомобиля,142437,74,2026-02-18
SPORT-RU,sport.ru,Sport.ru,140848,79,2026-02-18
glavbukh,www.glavbukh.ru,Журнал «Главбух»,139946,92,2026-02-18
kp/kpall/doctor,www.kp.ru/doctor,Комсомольская правда: Доктор,139666,86,2026-02-18
medaboutme.ru,medaboutme.ru/,Medaboutme (медицина обо мне) - информационная медицинская система,137842,85,2026-02-18
smart-lab.ru,smart-lab.ru/,"sMart-lab.ru - Блоги Инвесторов, Форумы по акциям, Котировки",137628,86,2026-02-18
smart-lab.ru,smart-lab.ru/,"sMart-lab.ru - Блоги Инвесторов, Форумы по акциям, Котировки",137628,86,2026-02-18
Bloknot-media,bloknot-media.ru,Блокнот Медиа - Сеть новостных порталов,136155,86,2026-02-18
olympteka.ru,olympteka.ru/,"Олимптека: олимпийская энциклопедия, новости спорта",134833,74,2026-02-18
buhonline.ru,www.buhonline.ru/,Бухонлайн - новости и статьи для бухгалтера,134764,93,2026-02-18
zr.ru,zr.ru/,Журнал &quot;За рулем&quot;. Автомобили в России,133213,74,2026-02-18
vomedia,vomedia.ru,ВО-медиа — цифровое издательство,133082,71,2026-02-18
110km.ru,110km.ru/,110km.ru Авто портал - продажа автомобилей в Санкт-Петербурге СПб,133010,73,2026-02-18
horoscopes.rambler.ru,horoscopes.rambler.ru/,Рамблер/Гороскопы - точные астрологические прогнозы,132903,79,2026-02-18
art-lunch.ru,art-lunch.ru/,Арт Ланч - Авторские рецепты с фотографиями,131062,73,2026-02-18
womanmediafort,www.mediafort.ru/,Женские сайты группы &quot;МедиаФорт&quot;,130362,73,2026-02-18
1tv.ru,www.1tv.ru/,1TV - ПЕРВЫЙ КАНАЛ - ТВ РОССИИ,125448,86,2026-02-18
kdelo.ru,www.kdelo.ru/,Кадровое дело. Практический журнал о кадровой работе и управлении персоналом,121588,90,2026-02-18
buhexpert8.ru,buhexpert8.ru/,Бухэксперт,119086,93,2026-02-18
kp/kpall/expert,www.kp.ru/expert,Комсомольская правда: Выбор экспертов,118916,85,2026-02-18
garden.pravda.ru,garden.pravda.ru/,Садоводство - Правда.Ру,118655,79,2026-02-18
minecraft-inside.ru,minecraft-inside.ru/,Minecraft Inside,117758,77,2026-02-18
prochepetsk.ru,prochepetsk.ru/,Про Город Кирово-Чепецк | Свежие новости Кирово-Чепецка,116459,71,2026-02-18
business-gazeta.ru,www.business-gazeta.ru/,БИЗНЕС ОНЛАЙН - Деловые новости Казани и Татарстана,116257,72,2026-02-18
FederalPress,fedpress.ru/,ФедералПресс,115246,91,2026-02-18
povarenok,www.povarenok.ru/,Поваренок.ру - всё о кулинарии,114068,74,2026-02-18
proza.ru,www.proza.ru/,Проза.ру - национальный сервер современной прозы,113683,82,2026-02-18
liveresult.ru,www.liveresult.ru/,LiveResult / Спорт Онлайн: Футбол + Хоккей + Теннис + Баскетбол,113645,73,2026-02-18
euro-football.ru,www.euro-football.ru/,"ЕВРО-ФУТБОЛ.ру : новости футбола, онлайн, РПЛ, Лига Чемпионов",111371,56,2026-02-18
chitalnya.ru,www.chitalnya.ru/,"Литпортал - &quot;Изба - читальня&quot;. Стихи, проза, поэзия, произведения авторов",109791,88,2026-02-18
usolie.info,usolie.info/,Усолье-Сибирское,109444,68,2026-02-18
pravmir,www.pravmir.ru,ПРАВОСЛАВИЕ И МИР,107929,83,2026-02-18
pravmir.ru,www.pravmir.ru/,ПРАВОСЛАВИЕ И МИР,106099,83,2026-02-18
tk_m24,www.m24.ru/,Сетевое издание M24.ru,104423,82,2026-02-18
PusCen,pulscen.ru/,Торговая площадка Пульс цен,101259,73,2026-02-18
RBCRU/REALTY,realty.rbc.ru,РБК.Недвижимость,99548,90,2026-02-18
tabor.ru,tabor.ru/,Tabor.ru - Сайт знакомств нового поколения!,97493,61,2026-02-18
softportal.com,www.softportal.com/,SOFTPORTAL- cкачать БЕСПЛАТНЫЕ программы,95900,78,2026-02-18
sibkray,sibkray.ru/,sibkrayru,95748,81,2026-02-18
inosmi.ru,inosmi.ru/,ИноСМИ,95124,81,2026-02-18
